injury_id,player_id,team_id,fixture_id,status,injury_type,expected_return_round,notes,updated_at
1,77,16,64,Ruled Out,Hamstring,8,Franklin hamstring tear,2024-03-28T08:00:00
2,66,14,64,Doubtful,Knee soreness,4,Martin managed training,2024-03-28T08:00:00
3,51,11,64,Available,Ankle (monitored),,Oliver expected to play,2024-03-28T08:00:00
4,31,7,65,Ruled Out,Quad strain,5,Dangerfield out,2024-03-28T08:00:00
5,86,18,66,Available,,,Bontempelli fully fit,2024-03-28T08:00:00
6,6,2,67,Doubtful,Back soreness,,Neale late fitness test,2024-03-28T08:00:00
7,52,11,65,Available,,,Petracca fit,2024-03-28T08:00:00
8,16,4,69,Ruled Out,Calf,6,Pendlebury injured,2024-03-28T08:00:00
9,11,3,68,Available,,,Cripps fit to play,2024-03-28T08:00:00
10,63,13,72,Doubtful,Ankle,5,Wines fitness test required,2024-03-28T08:00:00
